utterance,intent,Sentiment
"I don't have an online account, what do I have to do to register?",create_account,Neutral
can you tell me if i can regisger two accounts with a single email address?,create_account,Neutral
"I have no online account, open one, please",create_account,Neutral
"could you ask an agent how to open an account, please?",create_account,Positive
"i want an online account, create one",create_account,Positive
"i want an account, i need help opening one",create_account,Positive
tell me if I can register  two online accounts with the same email,create_account,Neutral
i want to know if i could create two profiles with the same email address,create_account,Positive
can you tell me if i can create more than one fucking user account with the same email?,create_account,Positive
were to create an onlind account,create_account,Positive
i wanna know if i can create more than one user account with a single email address,create_account,Positive
can I create two online accounts with a single email?,create_account,Positive
"I don't have a user account, how do I create one?",create_account,Positive
"I have no user account, what do I have to do to create one?",create_account,Neutral
I want to know if I can own several accounts,create_account,Positive
"I don't have a profile , can I creae one?",create_account,Neutral
"I don't have an online account, I need help creating one",create_account,Positive
I want to know if I can register several user accounts with the same email address,create_account,Positive
"I want an account, what do I have to do to open one?",create_account,Positive
tell me if I could register two user accounts with a single email address,create_account,Neutral
"I don't have a account, I need help opening one",create_account,Positive
"I haven't got a user account, can you register?",create_account,Neutral
I need a user account and I want to create one,create_account,Positive
"I need an online account, how can I open one?",create_account,Neutral
"I don't have a profile, how do I create one?",create_account,Positive
tell me if I can register two accounts with a single email address,create_account,Neutral
"I haven't got an online account, help me open one",create_account,Positive
"ive got no online account, what can i do to register?",create_account,Negative
I want to know if I can register several profiles with the same email address,create_account,Positive
i need help registering,create_account,Positive
i want to know if i can have several accounts,create_account,Positive
"I need an account, I need help opening one",create_account,Positive
"i want to create an account, what do i have to do?",create_account,Positive
"I'd like a user account, open one",create_account,Positive
"I want a user account , open one",create_account,Positive
"I need an online account, what do I have to do?",create_account,Neutral
I want to know if I can create more than one account with a single email,create_account,Positive
"I don't have a user account, register",create_account,Neutral
"I want to register, what do I have to do?",create_account,Positive
"I haven't got an online account, I need help opening one",create_account,Positive
"I have no fucking account, I need help registering, please",create_account,Positive
I want to know if I can register more than one user account with a single email address,create_account,Positive
I want to knoe if I can create two profiles with an single email address,create_account,Positive
can I own more than one account?,create_account,Neutral
"i want a profile, what should i do?",create_account,Positive
"I need an online account, what should I do to create one?",create_account,Positive
"i dont have a account, i need help opening one",create_account,Positive
"I want a profille, how can I create one?",create_account,Positive
how can I open an online account?,create_account,Neutral
ask an agent how i could create a user account,create_account,Positive
"i dont have an online account, what can i do?",create_account,Neutral
can i register?,create_account,Neutral
"i have no account, what do i have to do?",create_account,Negative
i watn to know if i can register two profiles with the same email address,create_account,Neutral
how can I create an online account?,create_account,Positive
"please, i want to know if i could create more than one profile with a single email address",create_account,Positive
"I've got no profile, how can I create one?",create_account,Neutral
"I would like a fucking user account , how can I open one?",create_account,Positive
"I have no account, can ylu help me?",create_account,Positive
I want to know if I can create more than one account with the same email address,create_account,Positive
"I haven't got an account, what can I do to open one?",create_account,Neutral
i want to know if i can create two accounts with a single email address,create_account,Positive
"I want an account, create one",create_account,Positive
"i want an account, can u create one?",create_account,Positive
"I haven't got an account, can I create one?",create_account,Positive
"I haven't got an account, can you open one?",create_account,Neutral
"I don't have a user account, I need help opening one",create_account,Positive
"I've got no account , can I register?",create_account,Negative
"I want to create an online account, what can I do?",create_account,Positive
I want to know if I can create more than one online account with a single email address,create_account,Positive
"I haven't got a user account, can you help me?",create_account,Positive
"I have no account, create one",create_account,Negative
"I don't have an online account, what do I have to do?",create_account,Neutral
can i own more than one online account?,create_account,Neutral
I want to know if I can register two accounts with a single email address,create_account,Positive
"i have no account, what should i do to open one?",create_account,Negative
"I have no user account , what do I have to do to open one?",create_account,Negative
can i have more than one online account?,create_account,Neutral
i wanna know if i can create two online accounts with a single email address,create_account,Positive
"I want a user account, how can I open one?",create_account,Positive
can you tell me if I can register several accounts with a single email?,create_account,Neutral
I want to open a user account,create_account,Positive
"please, i want to know if i can create two user accounts with the same email",create_account,Positive
"I haven't got auser account, help me open one",create_account,Positive
"i dont have a user account and i want to open one, please",create_account,Positive
i wanna know if i can register more than oneuser account with the same email,create_account,Neutral
"I have no account, how do I open one?",create_account,Negative
I want to know if I can register more than one user account with a single email,create_account,Positive
"i dont have a user accolunt, create one",create_account,Positive
tell me if I can create two online accounts with the same email,create_account,Positive
can you tell me if I can register several accounts with a single email address?,create_account,Neutral
I haven't got a profile,create_account,Neutral
I want to nkow if I can register two accounts with the same email,create_account,Positive
can you tell me if I can create more than one user account with the same email?,create_account,Positive
"I don't have a user account, can I open one?",create_account,Neutral
"i dont have a profile, can u create one?",create_account,Positive
I want to know if I can have several accounts,create_account,Positive
"I haven't got an online account, can you register?",create_account,Neutral
"can you tell me if I could create two accounts with a single email, please?",create_account,Positive
I need an account and I want to open one,create_account,Positive
"I've got no account, can I create one?",create_account,Neutral
"I've got no account,  what can I do to register?",create_account,Negative
"I want a user account and I would like to open one, please",create_account,Positive
can you tell me if I can create several online accounts with a single email address?,create_account,Positive
"i want an account, what can i do?",create_account,Positive
i wanna know if i can register more than one account with a single email address,create_account,Neutral
tell me if I can create more than one online account with a single email address,create_account,Positive
where odl i register?,create_account,Neutral
I need help opening an online account,create_account,Positive
i want to create an account,create_account,Positive
"I don't have a user account, what can I do to open one?",create_account,Neutral
"can you tell me if I could create two user accounts with a single email, please?",create_account,Positive
I want to know if I can create several profiles with a single email address,create_account,Positive
"i havent got a user account, what should i do to register?",create_account,Neutral
ask an agent where I could open a user account,create_account,Neutral
"I want an account, what do I have to do?",create_account,Positive
I want to know if I can register more than one online account with a single email,create_account,Positive
"I need a user account, what canI do t create one?",create_account,Positive
"I have no online account, how can I create one?",create_account,Neutral
"i need a user account, how do i create one?",create_account,Positive
can I own more than one profile?,create_account,Neutral
"I want an online account, can you open one?",create_account,Positive
"I don't have a profile, help me create one",create_account,Positive
"I haven't got an online account, can you create one?",create_account,Positive
tell me if I can create two user accounts with a single email,create_account,Positive
"I haven't got an online account, what should I do?",create_account,Neutral
can you tell me if i can create several profiles with the same email address?,create_account,Positive
"i  want to know if i can register two user accounts with the same email address, please",create_account,Positive
"i havent got a fucking profile, help me create one",create_account,Positive
"i need an account, what can i do?",create_account,Neutral
"I haven't got an online account, what do I have to do to create one?",create_account,Positive
"I don't have an account, what should I do to register?",create_account,Neutral
"I want an account, can you create one ?",create_account,Positive
"I need an online account, help me open one",create_account,Positive
"I don't have an online account, open one",create_account,Neutral
I need an online accoung and I want to creaet one,create_account,Positive
"I want to open an account, what do I have to do?",create_account,Positive
tell me if I can register more than one profile with the same email,create_account,Neutral
"I have no account, how do I creage one?",create_account,Negative
"I haven't got an account, can I register?",create_account,Neutral
"I want to opem an online account, what can I do?",create_account,Positive
"please, tell me if I could create more than one account with a single email",create_account,Positive
"I need a profile, how can I create one?",create_account,Positive
"I need a profile, what o I have to do to create one?",create_account,Positive
"I don't have an account, what can I do to create one?",create_account,Positive
could you tell me if i oculd have several online accounts?,create_account,Neutral
how can I create a user account?,create_account,Positive
can you tell me if I can create more than one user account with a single email address?,create_account,Positive
i havent got an online account and i want to create one,create_account,Positive
I need an account,create_account,Neutral
I don't have a profile and I want to create one,create_account,Positive
"i want to open an online account, what can i do?",create_account,Positive
"I wantto open a use account, what do I have to do?",create_account,Neutral
"I've got no fucking user account, can you open one?",create_account,Negative
i want to know if i can register several accounts with the same email address,create_account,Positive
"I need a user account, help me create one",create_account,Positive
"i have no fucking user account, can u open one, please?",create_account,Neutral
"please, I want to know if I an create two accounts with the same email",create_account,Positive
"I have no profile, can you create one?",create_account,Neutral
"i want to know if i can register several fucking online accounts with a single email address, please",create_account,Positive
"I haven't got a user account, how do I open one?",create_account,Neutral
"I do not have a fucking account, what do I have to do to register?",create_account,Neutral
"I haven't got a profile, I need help creating one",create_account,Positive
I don't have a user account and I want to create one,create_account,Positive
ive got no online account and i wanna create one,create_account,Neutral
